iso_week,gmail mentions,ms email mentions,OAuth mentions,antivirus mentions
2023-13,8,4,1,1
2023-14,16,22,1,3
2023-15,22,25,3,6
2023-16,17,24,8,3
2023-17,23,18,3,4
2023-18,14,16,2,5
2023-19,23,19,5,5
2023-20,17,23,5,12
2023-21,17,18,9,8
2023-22,22,24,7,3
2023-23,28,35,12,8
2023-24,34,27,9,3
2023-25,29,17,2,4
2023-26,22,17,8,6
2023-27,15,23,6,2
2023-28,22,22,8,5
2023-29,21,39,19,11
2023-30,25,28,7,7
2023-31,22,35,2,6
2023-32,21,35,10,4
2023-33,23,14,3,3
2023-34,19,13,4,3
2023-35,41,22,4,8
2023-36,25,21,5,3
2023-37,39,49,12,10
2023-38,31,35,2,4
2023-39,37,28,7,10
2023-40,40,33,17,7
2023-41,42,54,7,13
2023-42,31,40,7,7
2023-43,31,35,7,8
2023-44,43,26,5,7
2023-45,31,24,4,7
2023-46,27,26,6,4
2023-47,36,35,6,10
2023-48,47,31,8,11
2023-49,31,29,4,6
2023-50,33,29,6,7
2023-51,25,18,1,4
2023-52,25,16,4,6
2024-01,31,18,4,4
2024-02,26,23,1,8
2024-03,33,26,6,9
2024-04,36,44,9,8
2024-05,24,32,6,7
2024-06,34,25,7,8
2024-07,25,21,6,5
2024-08,34,30,4,6
2024-09,29,25,6,5
2024-10,32,20,3,12
2024-11,31,25,6,6
2024-12,31,23,2,5
2024-13,25,18,1,7
2024-14,22,22,3,7
2024-15,32,26,5,7
2024-16,33,21,12,7
2024-17,23,17,6,7
2024-18,23,16,4,5
2024-19,18,18,3,5
2024-20,19,23,7,3
2024-21,31,23,3,6
2024-22,20,25,9,4
2024-23,28,18,7,6
2024-24,22,27,8,7
2024-25,26,21,12,9
2024-26,20,31,13,11
2024-27,29,45,18,7
2024-28,34,35,11,6
2024-29,35,45,21,6
2024-30,42,57,19,10
2024-31,35,52,11,7
2024-32,49,41,18,11
2024-33,38,38,9,13
2024-34,43,38,16,9
2024-35,33,33,4,10
2024-36,28,23,5,10
2024-37,32,54,25,7
2024-38,51,50,21,10
2024-39,56,64,24,9
2024-40,37,80,27,13
2024-41,39,47,11,6
2024-42,37,38,14,12
2024-43,49,47,8,5
2024-44,44,20,6,3
