iso_week,antivirus mentions
2023-13,1
2023-14,3
2023-15,6
2023-16,3
2023-17,4
2023-18,5
2023-19,5
2023-20,12
2023-21,8
2023-22,3
2023-23,8
2023-24,3
2023-25,4
2023-26,6
2023-27,2
2023-28,5
2023-29,11
2023-30,7
2023-31,6
2023-32,4
2023-33,3
2023-34,3
2023-35,8
2023-36,3
2023-37,10
2023-38,4
2023-39,10
2023-40,7
2023-41,13
2023-42,7
2023-43,8
2023-44,7
2023-45,7
2023-46,4
2023-47,10
2023-48,11
2023-49,6
2023-50,7
2023-51,4
2023-52,6
2024-01,4
2024-02,8
2024-03,9
2024-04,8
2024-05,7
2024-06,8
2024-07,5
2024-08,6
2024-09,5
2024-10,12
2024-11,6
2024-12,5
2024-13,7
2024-14,7
2024-15,7
2024-16,7
2024-17,7
2024-18,5
2024-19,5
2024-20,3
2024-21,6
2024-22,4
2024-23,6
2024-24,7
2024-25,9
2024-26,11
2024-27,7
2024-28,6
2024-29,6
2024-30,10
2024-31,7
2024-32,11
2024-33,13
2024-34,9
2024-35,10
2024-36,10
2024-37,7
2024-38,10
2024-39,9
2024-40,13
2024-41,6
2024-42,12
2024-43,5
2024-44,3
