iso_week,OAuth mentions
2023-13,1
2023-14,1
2023-15,3
2023-16,8
2023-17,3
2023-18,2
2023-19,5
2023-20,5
2023-21,9
2023-22,7
2023-23,12
2023-24,9
2023-25,2
2023-26,8
2023-27,6
2023-28,8
2023-29,19
2023-30,7
2023-31,2
2023-32,10
2023-33,3
2023-34,4
2023-35,4
2023-36,5
2023-37,12
2023-38,2
2023-39,7
2023-40,17
2023-41,7
2023-42,7
2023-43,7
2023-44,5
2023-45,4
2023-46,6
2023-47,6
2023-48,8
2023-49,4
2023-50,6
2023-51,1
2023-52,4
2024-01,4
2024-02,1
2024-03,6
2024-04,9
2024-05,6
2024-06,7
2024-07,6
2024-08,4
2024-09,6
2024-10,3
2024-11,6
2024-12,2
2024-13,1
2024-14,3
2024-15,5
2024-16,12
2024-17,6
2024-18,4
2024-19,3
2024-20,7
2024-21,3
2024-22,9
2024-23,7
2024-24,8
2024-25,12
2024-26,13
2024-27,18
2024-28,11
2024-29,21
2024-30,19
2024-31,11
2024-32,18
2024-33,9
2024-34,16
2024-35,4
2024-36,5
2024-37,25
2024-38,21
2024-39,24
2024-40,27
2024-41,11
2024-42,14
2024-43,8
2024-44,6
